IYR,IMO,RAILROAD,STATE,STATION,COUNTY,NARR1,NARR2,NARR3,NARR4,NARR5,NARR6,NARR7,NARR8,NARR9,NARR10,NARR11,NARR12,NARR13,NARR14,NARR15
19,11,ATK,6,CASTROVILLE,MONTEREY,"CAMERA-EQUIPPED TRAIN 14 STRUCK AN OCCUPIED SANITATION TRUCK AT MP 110.68, A PRIVATE RD CROSSING.  T",HE OCCUPANT OF THE VEHICLE WAS A CONFIRMED FATALITY.,,,,,,,,,,,,,
19,10,MNCW,9,NORWALK,FAIRFIELD,"PRODUCTION GANG, TRAVELING NORTH WITH 22 PIECES OF EQUIPMENT, HAD 7 SEPERATE PIECES OF EQUIPMENT MAK",E IMPACT WITH ONE ANOTHER.,,,,,,,,,,,,,
19,4,FEC,12,POMPANO BEACH,BROWARD,BLF 604 WAS TRAVELING SOUTHBOUND ON EAST MAIN AT APPROXIMATELY 79 MPH AND NOTICED A TRESPASSER COMIN,G ACROSS THE TRACKS WITH HIS BIKE FROM THE WEST SIDE OF THE TRACKS TO THE EAST SIDE OF THE TRACKS.,LOCOMOTIVE ENGINEER SOUNDED HORN AND BELL TO WARN TRESPASSER AND PLACED TRAIN INTO EMERGENCY.  TRESP,ASSER WAS STRUCK RESULTING IN A FATALITY.  BLF COSTS WERE $15325.,,,,,,,,,,,
19,4,FEC,12,POMPANO BEACH,BROWARD,BLF 606 WAS TRAVELING SOUTHBOUND ON EAST MAIN AND NOTICED A VEHICLE FOULING HAMMONDVILLE ROAD.  LOCO,MOTIVE ENGINEER SOUNDED HORN AND BELL AND PLACED TRAIN IN EMERGENCY.  TRAIN STRUCK VEHICLE AND PASSE,NGERS IN VEHICLE WERE TRANSPORTED TO LOCAL HOSPITAL WITH MINOR INJURIES.  BLF COSTS WERE $10793.,,,,,,,,,,,,
19,4,CSX,12,SEVILLE,VOLUSIA,AMTRAK P09811 STRUCK SEMI AT PRIVATE CROSSING.,,,,,,,,,,,,,,
19,9,BLF,12,WEST PALM BEACH,PALM BEACH,BLF 605 TRAVELING NB ON THE WEST MAIN TRACK STRUCK A VEHICLE AT WESTWOOD RD MP 300.76.  VEHICLE WENT,AROUND LOWERED GATES THAT WERE WORKING AS INTENDED.  TRAIN STRUCK THE VEHICLE AND ENGINEER PLACED T,RAIN INTO EMERGENCY CAUSING IMPACT AND FATALITY TO DRIVER.   FEC DAMAGE:  $615.33,,,,,,,,,,,,
19,2,IANR,19,WATERLOO,BLACK HAWK,"FEBRUARY 13, 2019

AT APPROXIMATELY 0001, A CREW OPERATING A NORTHBOUND LITE ENGINE CONSIST (7 LOC",OMOTIVES) APPROACHED THE SOUTH NEW LEAD SWITCH AT BRYANT YARD WITH THE INTENT OF STOPPING TO LINE TH,E SWITCH IN ORDER TO PROCEED TOWARD TRACK 6. AS THE ENGINEER APPLIED THE INDEPENDENT BRAKES TO THE C,"ONSIST, NO BRAKING EFFECT OCCURRED DUE TO SNOW BUILD UP ON THE BRAKE SYSTEM APPARATUS. AS A RESULT O","F NOT BEING ABLE TO STOP, THE ENGINE CONSIST COLLIDED WITH A SECOND SET OF LITE ENGINES (4 LOCOMOTIV",ES) SITTING ON THE MAIN TRACK. THE COLLISION CAUSED THE RAIL TO SPREAD AND SUBSEQUENTLY DERAILED LEA,"DING LOCOMOTIVE AND ONE LOCOMOTIVE IN SECOND CONSIST. 

THE BRAKING EFFECT WAS NOT ACHIEVED DUE TO",BRAKE APPARATUS NOT BEING CONDITIONED PRIOR TO THE BRAKE APPLICATION.,,,,,,,
19,1,BNSF,19,KEOKUK,LEE,KJRY CREW WAS SHOVING INTO YARD FROM BNSF MAIN TRACK WHEN ICE AND SHOW BUILDUP IN THE CROSSING CAUSE,D THE CARS TO DERAIL.  CARS DERAILED ON BNSF MAINLINE.,,,,,,,,,,,,,
19,4,UP,19,CHARITON,LUCAS,"TRAIN MDMEW-08 AT MP 23.1 WENT INTO EMERGENCY.  AFTER TRAIN WAS STOPPED, IT WAS DISCOVERED THAT CAR",TILX635869 HAD ONE SET OF TRUCKS ON THE GROUND DUE TO SOFT SUBGRADE IN THE SPIRAL OF A CURVE.,,,,,,,,,,,,,
19,4,BNSF,19,ALBIA,MONROE,X-BVAEDY5-13 DERAILED 3 RAILCARS WHILE SHOVING INDUSTRY TRACK 2320 DUE TO IMPROPER INSTRUCTIONS TO T,RAIN CREW. NO HAZARDOUS MATERIALS WERE RELEASED.,,,,,,,,,,,,,
19,1,EIRR,16,REXBURG,MADISON,"AT APPROXIMATELY 13:00 ON 1/30/2019, THE EAST BELT CREW WAS TRAVELLING NEAR MP 27.5 ON THE EAST BELT",SUBDIVISION WHEN THEY ENCOUNTERED DEEP SNOW DRIFTS ACROSS THE MAIN LINE.  THE CREW CUT AWAY FROM TH,EIR TRAIN TO PROCEED AHEAD TO CLEAR A PATH THROUGH THE DRIFTS WHEN THEY DERAILED ON A PRIVATE CROSSI,NG NEAR MP 27.23.  AFTER COMING TO A STOP THE LOCOMOTIVE PROCEEDED TO ROLL OVER ON THE ENGINEER'S SI,DE.,,,,,,,,,,
19,3,UP,17,MELROSE PARK,COOK,"YPR20R-21 DERAILED 2 RAILCARS IN BOWL TRACK 6.  CGCX20382 SUSTAINED DAMAGE TO THE B-END CROSSOVER, I",T WAS BENT DUE TO HARD IMPACT FROM ARMN933921.  ARMN933921 HAD A -END MINOR DERAIL AND COMPLETE DEST,RUCTION OF SLIDING SILL.  WEPX3668 - A/B MINOR DERAIL.   THE B-END COUPLER IS BROKEN TO INCLUDE END,SILL DAMAGE.,,,,,,,,,,,
19,4,BNSF,17,MENDOTA,LA SALLE,AMTRAK REPORTED THAT THEY HAD A TRACK MOTOR FIRE ON THE LEAD LOCOMOTIVE.  LOCAL FIRE PERSONAL WERE D,ISPATCHED TO EXTINGUISH.,,,,,,,,,,,,,
19,5,UP,17,MELROSE PARK,COOK,MPRWN-23 DERAILED CN625795 AND CNIS623242 WHILE PULLING WEST AND RERAILED ONCE IT HIT THE FROG.,,,,,,,,,,,,,,
19,5,UP,17,MELROSE PARK,COOK,THE YPR26R-24 JOB WAS SHOVING SOUTH WITH 2 LOCOMOTIVES AND 101 CARS FROM TRACK 27 TOWARDS THE HUMP W,"HEN 6 CARS DERAILED, CAUSING DAMAGE TO 2 MORE CARS IN TRACK 28.",,,,,,,,,,,,,
19,5,UP,17,MELROSE PARK,COOK,THE YPR26R-24 JOB WAS SHOVING SOUTH WITH 2 LOCOMOTIVES AND 101 CARS FROM TRACK 27 TOWARDS THE HUMP W,"HEN 6 CARS DERAILED, CAUSING DAMAGE TO 2 MORE CARS IN TRACK 28.",,,,,,,,,,,,,
19,1,GRW,18,GARY,LAKE,"AT 2259HRS THE 2230HMRCL31 ASSIGNMENT, OPERATING THE GRW 318 WITH A SINGLE RCO OPERATOR WAS IN THE P",ROCESS OF PULLING THE LOADS FROM #14BF. THE RCO HAD TIED ONTO THE IL171 AND IL 155 ON THE LOAD TRACK,"AT #14BF. THE RCO WAS INSTRUCTED TO DELIVER THE LOADED LADLES TO THE QBOP. 
AS THE RCO PULLED OUT",OF THE LOAD TRACK AND ACROSS THE ROAD WAY THE GRW 318 AND IL 171 DERAILED. THE IL 155 WAS THE REAR L,ADLE AND REMAINED ON THE TRACK AT THE TIME. THE FRONT SET OF TRUCKS ON THE GRW 318 AND IL 171 DERAIL,ED. THE RCO WAS POSITIONED ON THE POINT OF HIS GRW 318 WHEN HE FELT THE LOCOMOTIVE BOUNCE AND THEN C,OME TO A HALT. THE RCO IMMEDIATELY PUT HIS ENGINE IN STOP AS SOON AS HE COULD. RCO NOTIFIED THE SCAL,ES YARDMASTER THAT HE HAD DERAILED AT 2259HRS.,,,,,,,
19,8,NICD,18,GARY,LAKE,PANTOGRAPH GOT ABOVE THE  MID SPAN WIRE ALLOWING IT TO GET INTO THE CANTENARY.,,,,,,,,,,,,,,
19,8,KCT,20,KANSAS CITY,WYANDOTTE,CREW ON UP TRAIN MNPINP-19 USING KCT MAIN LINE AS HEAD ROOM TO SET OUT BAD ORDER IN UP ARMOURDALE YA,"RD, TRAIN PULLED EAST OUT OF ARMOURDALE INBOUND TO KCT MAIN 3.  CONDUCTOR MADE CUT AND INSTRUCTED EN","GINEER TO PULL EAST TO CLEAR SWITCHES ON LEAD, ENGINEER BROUGHT TRAIN TO STOP USING INDEPENDENT BRAK",E CAUSING BUFF FORCES IN THE TRAIN CAUSING MTNR175009 TO DERAIL ON KCT MAIN LINE.  KCT MAINTAINS TRA,CK AND SIGNAL WITH DAMAGE OF $3900.  UP OWNS CONSIST WITH DAMAGE OF $7852.  #12 SUBDIVISION NAME IS,LS 1001.,,,,,,,,,
19,9,BNSF,20,FORT SCOTT,BOURBON,H-GALTUL9-19 DERAILED 7 RAILCARS IN YARD TRACK 106. AFTER SHOVING THROUGH AN IMPROPERLY LINED SWITCH,", SUBSEQUENTLY DERAILED UPON CHANGING DIRECTIONS. CAUSE IS FAILURE TO CONTROL SHOVE MOVE IN TURN RUN",NING THROUGH AN IMPROPERLY LINED SWITCH. NO HAZARDOUS MATERIALS WERE RELEASED.,,,,,,,,,,,,
19,5,UP,20,BUFFALO,WILSON,"THE CSACD9-05, LEAD LOCOMOTIVE UP7832, WAS TRAVELING NORTHBOUND NEAR MILE POST 413.5 OF THE COFFEYVI",LLE SUBDIVISION WHEN IT DERAILED 19 CARS DUE TO A WASHOUT IN FRONT OF THEM.  THE TRAIN WAS PLACED IN,"TO EMERGENCY BRAKE APPLICATION. CAR# : IAPX 1121 ARGON LIQUID COMPLETE CAR RELEASE AND 199,400 LBS.","CAR#: IAPX 1105 ARGON LIQUID COMPLETE RELEASE AND 202,500 LBS.",,,,,,,,,,,
19,9,MS,26,NORTH MUSKEGON,MUSKEGON,A LARGE TREE FELL ON A STATIONARY MHLX 15199 RAIL CAR DUE TO HIGH WINDS. THE TREE DAMAGED THE TOP HA,TCH AND BENT THE ROOF OF THE HOPPER CAR. THE CAR WAS INSPECTED BY A CARMEN AND HE FOUND IT TO BE IN,NEED OF REPAIRS REQUIRING TO BE HOME SHOPPED DUE TO THE AMOUNT OF DAMAGE.,,,,,,,,,,,,
19,2,ATK,26,KALAMAZOO,KALAMAZOO,"TRAIN 355 OPERATING WITH LOCOMOTIVE E/27 AND 5 CARS STRUCK AN OCCUPIED VEHICLE AT MP 147.70, ELEVENT",H STREET CROSSING.  THE VEHICLE DROVE AROUND THE GATES AND STOPPED ON THE CROSSING.  THERE WERE 3 CO,NFIRMED FATALITES IN THE VEHICLE.  THE INCIDENT REMAINS UNDER INVESTIGATION.,,,,,,,,,,,,
19,10,GDLK,26,KALAMAZOO,KALAMAZOO,THE 100 CREW WENT TO PUT A CAR INTO 13 TRACK WHEN THE CARS THEY SET OUT IN 12 ROLLED OUT AND SIDE SW,IPED THE CAR THEY WE'RE SETTING OUT INTO 13.,,,,,,,,,,,,,
19,4,ATK,26,DOWAGIAC,CASS,TRAIN 364 WAS DELAYED DEPARTING DOWAGIAC STATION DUE TO A BATTERY FIRE ON C/54558.  ONCE FIRE WAS EX,"TINGUISHED, THE CREW WAS ABLE TO ISOLATE THE POWER IN C/54558 AND RESTORE HEP ON THE TRAIN.",,,,,,,,,,,,,
19,7,WC,26,MANISTIQUE,SCHOOLCRAFT,AT 1330 EDT ON JULY 31ST TRAIN A45181-31 DERAILED 7 CARS AND THEIR DP UNIT.,,,,,,,,,,,,,,
19,2,UP,29,DEXTER,STODDARD,THE ZMQG4-06 WAS IN THROTTLE 2 TRAVELING APPROXIMATELY 20 MPH WHEN TRAIN WENT INTO EMERGENCY.  CONDU,CTOR WALKED BACK AND FOUND 14 CARS HAD DERAILED.  CAUSE OF DERAILMENT WAS DETERMINED TO BE STRAIGHT,LINE WIND.,,,,,,,,,,,,
19,8,CMR,29,ST ALBANS,FRANKLIN,"AT AROUND MP 41 ON A CURVE, FELD STACK AS CREW ROUNDED THE CURVE AND IMMEDIATLY PLACEDS ENGINE IN EM",ERGENCY ONCE REALIZED THERE WAS NOT NORMAL SLACK.  6 CARS DERAILED ON THE MAIN IN AN S CURVE. ENGINE,ER THEN CUT THE ENGINES AWAY.,,,,,,,,,,,,
19,4,ATK,28,WESSON,COPIAH,"TRAIN 59 OPERATING WITH LOCOMOTIVE E/139 AND 7 CARS STRUCK AN OCCUPIED UTILITY VAN AT MP 774.37, COL","LIER ST CROSSING.  THE VEHICLE OPERATED INTO PATH OF THE TRAIN, THROUGH THE CROSSING WITH AMPLE PROT",ECTION CAUSING THE VAN TO SPIN AND STRIKE ANOTHER OCCUPIED VEHICLE.,,,,,,,,,,,,
19,12,BNSF,38,STANLEY,MOUNTRAIL,L-MON8332-08 DERAILED 3 RAILCARS WHILE SHOVING YARD TRACK 6535 DUE TO FAILURE TO CONTROL SHOVE MOVE,IN TURN RUNNING THROUGH OVER A DERAIL. NO HAZARDOUS MATERIALS WERE RELEASED.,,,,,,,,,,,,,
19,11,UP,31,GRAND ISLAND,HALL,LCB53-12 CREW PULLED INTO GRAND ISLAND YARD OFF MAIN 2 AT MP 145.  AS THE CREW TRAVERSED DOWN THE EA,"ST LEAD, THE REAR TRUCKS ON THE REAR LOCOMOTIVE AND FIRST FIVE CARS DERAILED AFTER THE SWITCH BETWEE",N 4 AND 718 TRACK.  THE CREW WAS LINED PROPERLY ON A FACING POINT SWITCH DOWN 4 TRACK/THE REMAINDER,"OF THE EAST LEAD.  AFTER THE FIRST TWO LOCOMOTIVES PROPERLY CAME OVER THE SWITCH, THE SWITCH OPENED","UP DERAILING THE REAR TRUCKS ON THE THIRD LOCOMOTIVE AND THE FIRST FIVE CARS.  AFTER INVESTIGATION,",IT WAS DETERMINED THAT THE LAST CREW TO OPERATE THE SWITCH WAS A NCRC CREW WORKING IN GRAND ISLAND Y,ARD.  THE HOOK OF THE SWITCH WAS NOT PLACED INSIDE THE HASP OF THE SWITCH TO PREVENT SWITCH MOVEMENT,.,,,,,,,
19,11,UP,31,NORTH PLATTE,LINCOLN,"YNP40R-17 CONDUCTOR MADE A HOOK IN FORWARDER 10, DROPPED THE RETARDER AND UNTIED BRAKES.  HE BEGAN H","IS SECOND SHOVE BY STARTING AT COUPLE SPEED AND LISTENED FOR THE SLACK TO BUNCH, THEN HE WAITED 15-2",0 SECS FOR THE ENTIRE CONSIST TO BUNCH BEFORE SLOWLY NOTCHING SPEED TO 7 MPH AS PER PROPER TRAIN HAN,DLING.  SHORTLY AFTER RAMPING UP TO 7 MPH HE HEARD SOMEONE TELL HIM TO STOP.  CONDUCTOR STOPPED IMME,DIATELY AFTER AND NOTICED THAT A LUMBER CAR WAS DERAILED IN THE DIRT ON THE EAST END OF FORWARDER 10,.,,,,,,,,,
19,1,BNSF,38,MANDAN,MORTON,C-BTMCOB0-04 DERAILED 1 LOCOMOTIVE IN YARD TRACK 2199 WHILE OPERATING LIGHT ENGINES. AFTER SHOVING T,"HROUGH AND IMPROPERLY LINED SWITCH, SUBSEQUENTLY DERAILED UPON CHANGING DIRECTIONS. CAUSE IS FAILURE",TO CONTROL SHOVE MOVE IN TURN RUNNING THROUGH AN IMPROPERLY LINED SWITCH. NO HAZARDOUS MATERIAL WAS,RELEASED.,,,,,,,,,,,
